BookID,Title,Author,Rating,Number of raters,5 stars,4 stars,3 stars,2 stars,1 star,Number of reviewers,Pages,PublishDate,Book format,Language,GenreLink,Series,Raters
1208802,Last of the Big-Time Spenders,Jack Weyland,3.58,336,67,106,123,36,4,9,88.0,1986,Hardcover,English,1197169,,336
1208815,Charly,Jack Weyland,3.99,9087,3297,3156,2025,459,150,466,,May 1980,Audio Cassette,,400711,Charly,9087
1208820,The River King,Alice Hoffman,3.71,10060,2159,3916,3080,739,166,651,276.0,July 2000,Hardcover,English,1855657,,10060
1208827,Exposure,Kathryn Harrison,3.66,749,161,266,249,56,17,67,,January 1st 1993,,English,1068573,,749
1208840,The Wicked Flea,Susan Conant,3.72,320,69,119,111,16,5,20,289.0,March 5th 2002,Mass Market Paperback,English,1429077,A Dog Lover's Mystery,320
1208836,Nightmares: Poems to Trouble Your Sleep,Jack Prelutsky,4.16,338,155,101,67,12,3,52,38.0,June 1st 1976,Hardcover,English,2716406,,338
1208846,"Letters From Motherless Daughters: Words Of Courage, Grief, And Healing",Hope Edelman,4.27,439,203,162,64,10,0,27,162.0,1995,Hardcover,English,127938,,439
10799,A Farewell to Arms,"Ernest Hemingway, نجف دریابندری",3.81,271698,78032,100283,65046,20524,7813,10119,293.0,1929,Paperback,English,4652599,,271698
1208849,Let's Put the Future Behind Us,Jack Womack,3.93,244,74,90,70,10,0,23,310.0,1996,Hardcover,English,511870,,244
1208850,A Farewell to Arms,Ernest Hemingway,3.81,271714,78041,100288,65044,20528,7813,10120,,1929,Paperback,Chinese,4652599,,271714
1208854,The Invisibles: The Invisible Kingdom,"Grant Morrison, Philip Bond, Warren Pleece, Sean Phillips, Jay Stephens, Frank Quitely, Steve Yeowell",4.2,3439,1688,1011,539,135,66,92,,2001,Paperback,English,23420,The Invisibles,3439
1208853,A Farewell to Arms,Ernest Hemingway,3.81,271714,78041,100288,65044,20528,7813,10120,,1929,Audiobook,,4652599,,271714
1208855,The Invisibles Vol. 6: Kissing Mr Quimper,"Grant Morrison, Chris Weston, Ivan Reis",4.24,3953,1977,1221,560,134,61,72,,February 1999,Paperback,English,1197222,The Invisibles,3953
1208856,The Invisibles Vol. 5: Counting to None,"Grant Morrison, Phil Jimenez, John Stokes",4.19,4385,2111,1348,675,163,88,73,224.0,June 1st 1996,Paperback,English,1197223,The Invisibles,4385
1208857,The Invisibles: Bloody Hell In America,"Grant Morrison, Phil Jimenez, John Stokes",4.17,4002,1761,1393,670,136,42,79,,May 1997,Paperback,English,23427,The Invisibles,4002
1208858,Arthur And The Invisibles,Luc Besson,3.76,458,131,147,132,37,11,29,426.0,2006,Paperback,English,15727535,Arthur et les Minimoys,458
1208736,Abracadaver,Peter Lovesey,3.57,244,36,87,100,21,0,25,,1972,Audio Cassette,English,2086646,Sergeant Cribb,244
1208862,City of Light,Lauren Belfer,3.75,4523,987,1896,1226,335,79,628,528.0,1999,Hardcover,English,1223014,,4523
1208864,About Face,"David H. Hackworth, Julie Sherman, Ward Just",4.28,3674,1894,1100,527,111,42,163,896.0,March 1989,Hardcover,English,280439,,3674
1208872,Disobeying,Joy Berry,4.03,211,97,56,36,11,11,34,29.0,January 1st 1982,Paperback,,2186721,Help Me Be Good!,211
1208888,City of Masks,Mary Hoffman,3.92,15566,5101,5654,3585,877,349,664,,December 8th 2002,Paperback,English,3877968,Stravaganza,15566
1208887,City of Masks,Mary Hoffman,3.92,15566,5101,5654,3585,877,349,664,345.0,2002,Hardcover,English,3877968,Stravaganza,15566
1208889,City of Masks,Mary Hoffman,3.92,15566,5101,5654,3585,877,349,664,345.0,September 21st 2002,Hardcover,English,3877968,Stravaganza,15566
1208895,Baby Love: Choosing Motherhood After a Lifetime of Ambivalence,Rebecca Walker,3.3,875,155,226,280,156,58,174,224.0,2007,Paperback,English,1197262,,875
1208896,The Puppy Who Wanted a Boy,Jane Thayer,4.25,1534,774,443,260,44,13,113,32.0,1958,Unknown Binding,English,1644098,,1534
1208899,The Puppy Who Wanted a Boy,"Catherine Woolley, Jane Thayer, Lisa McCue",4.25,1534,774,443,260,44,13,113,32.0,1958,Hardcover,English,1644098,,1534
1208903,Seduced by Moonlight,"Laurell K. Hamilton, Laural Merlington",4.05,35585,14499,11469,7131,1875,611,622,15.0,January 3rd 2004,Audio CD,English,3341458,Merry Gentry,35585
1208902,Seduced by Moonlight,"Laurell K. Hamilton, Laural Merlington",4.05,35585,14499,11469,7131,1875,611,622,15.0,January 3rd 2004,Audio CD,English,3341458,Merry Gentry,35585
1208905,A Caress of Twilight,"Laurell K. Hamilton, Laural Merlington",4.04,39146,15707,12829,7850,2092,668,803,12.0,March 1st 2002,Audio CD,English,3341361,Merry Gentry,39146
1208908,The Bermuda Triangle Mystery - Solved,Larry Kusche,3.59,231,53,82,54,33,9,31,,1975,Paperback,English,347208,,231
1208904,A Kiss of Shadows,Laurell K. Hamilton,4.0,55044,22489,17007,10498,3404,1646,1939,480.0,September 30th 2000,ebook,English,3341459,Merry Gentry,55044
1208907,Zirkus der Verdammten,Laurell K. Hamilton,4.16,89890,39200,30720,16078,2873,1019,1667,416.0,1995,Paperback,German,1736002,"Anita Blake, Vampire Hunter",89890
1208906,A Kiss of Shadows,"Laurell K. Hamilton, Laural Merlington",4.0,55044,22489,17007,10498,3404,1646,1939,16.0,September 30th 2000,Audio CD,English,3341459,Merry Gentry,55044
1208910,The Bermuda Triangle: An Incredible Saga of Unexplained Disappearances,Charles Berlitz,3.25,1320,185,329,506,231,69,105,203.0,1973,Hardcover,English,474182,,1320
1208918,"Dude, Where's My Country?",Michael Moore,3.41,15083,2518,4552,5393,1803,817,382,,2003,Audiobook,English,979931,,15083
1208919,"Dude, Where's My Country?",Michael Moore,3.41,15083,2518,4552,5393,1803,817,382,415.0,2003,Hardcover,English,979931,,15083
1208920,The Black Tulip,Alexandre Dumas,3.82,15894,4309,5888,4463,1011,223,1091,,1850,Paperback,English,2024166,,15894
