BookID,Title,Author,Rating,Number of raters,5 stars,4 stars,3 stars,2 stars,1 star,Number of reviewers,Pages,Book format,Language,GenreLink,Series,PublishYear
12282938,Wizard at Work,Vivian Vande Velde,3.63,429,97,131,156,34,11,52,149,Kindle Edition,English,549936,None,2003
343283,Aliens: The Female War,"Steve Perry, Stephani Perry",3.7,1177,297,384,362,116,18,45,296,Mass Market Paperback,English,333630,Aliens (Bantam Books),1993
12282941,Trois hommes dans un bateau - Sans oublier le chien !,Jerome K. Jerome,3.88,59307,19226,20546,13983,4107,1445,4881,209,Kindle Edition,French,4476508,Three Men,1889
12282943,Shards of Honour,Lois McMaster Bujold,4.09,31427,12296,11806,5707,1212,406,2017,272,Kindle Edition,English,9673658,Vorkosigan Saga (Publication Order),1986
12282946,Kisses from Katie: A Story of Relentless Love and Redemption,"Katie      Davis, Beth Clark",4.4,28581,17231,7175,3026,757,392,2617,304,Paperback,English,16209069,None,2011
12282952,Baby Signs,Linda Acredolo,3.75,848,226,284,257,62,19,108,176,Paperback,English,128028,None,1996
12282964,Elfbitten,Leila Bryce Sin,3.47,560,120,166,173,61,40,44,0,Nook,English,16989164,Taryn Malloy Fantasy,2011
12282973,Big Woods: The Hunting Stories (Vintage International),William Faulkner,4.01,388,141,141,82,17,7,37,224,Kindle Edition,English,368637,None,1955
12282974,Big Woods: The Hunting Stories,William Faulkner,4.01,388,141,141,82,17,7,37,270,Hardcover,English,368637,None,1955
12282979,Ashes of a Black Frost,Chris  Evans,3.85,678,189,253,187,43,6,50,450,Kindle Edition,English,10934818,Iron Elves,2011
12282991,Q is for Quarry,Sue Grafton,3.94,24817,6936,10566,6455,727,133,1007,580,Kindle Edition,English,1300476,Kinsey Millhone,2002
12282997,Shalimar the Clown,Salman Rushdie,3.89,13131,3795,5301,3042,776,217,923,514,Kindle Edition,English,1214874,None,2005
12283009,Burned,Thomas Enger,3.71,2323,441,1006,678,150,48,230,420,Kindle Edition,English,14627593,Henning Juul,2010
12283005,Labyrinths,"Jorge Luis Borges, Donald A. Yates, James E. Irby, John M. Fein, Harriet de Onís, Julian Palley, Dudley Fitts, Anthony Kerrigan",4.46,28305,17263,7689,2559,585,209,1428,287,Mass Market Paperback,English,376514,None,1962
12283010,Burned,"Thomas Enger, Charlotte Barslund",3.71,2323,441,1006,678,150,48,230,270,Paperback,English,14627593,Henning Juul,2010
12283012,This I Believe: Life Lessons,"Dan Gediman, John Gregory, Mary Jo Gediman",3.78,595,163,208,168,42,14,69,2,Audio CD,English,16224128,None,2011
12283018,Someone Cry for the Children: The Unsolved Oklahoma Girl Scout Murders and the Case of Gene Leroy Hart,"Michael Wilkerson, Dick Wilkerson",4.07,168,67,66,19,11,5,20,264,Paperback,English,155761,None,1981
12283037,Intimités,"Laurie Colwin, Anne Berton",4.24,630,286,232,93,16,3,69,217,Mass Market Paperback,French,1088762,None,1981
12283078,Big Woods: The Hunting Stories,William Faulkner,4.01,388,141,141,82,17,7,37,224,ebook,English,368637,None,1955
12283076,Paint by Magic,Kathryn Reiss,3.89,437,137,147,123,28,2,49,271,Hardcover,English,1433943,Time Travel Mystery,2002
12283088,The Dead Room,Robert  Ellis,3.98,4018,1356,1558,854,179,71,298,0,Nook,English,562119,None,2002
12283107,Raggedy Ann Stories [Illustrated],"Johnny Gruelle, Amanda Lee",4.1,1038,464,286,225,55,8,82,0,Nook,English,2374296,Raggedy Ann and Andy,1918
144001,The Heart of the Antarctic: The Farthest South Expedition 1907-1909,Ernest Shackleton,4.31,447,221,161,55,4,6,28,432,Paperback,English,138984,None,1909
12283129,Japan,"Lonely Planet, Chris Rowthorn",4.06,1896,691,744,372,70,19,97,832,Paperback,English,31363,Lonely Planet,1981
12283142,Syndrome,Thomas Hoover,3.46,1590,290,487,549,190,74,134,270,Kindle Edition,English,1878760,None,2003
12283147,Пеперудата,"Henri Charrière, Анри Шариер, Вера Джамбазова",4.21,60336,27554,21570,8453,1927,832,2221,598,Paperback,Bulgarian,1289201,Papillon,1969
12283145,Dexter En La Oscuridad,Jeff Lindsay,3.59,35879,8208,11523,10656,4084,1408,1929,384,Paperback,Spanish,2283550,Dexter,2006
