GenreLink,Genre,NumberOfPeople
/work/shelves/96435,default,4
/work/shelves/96435,unread,3
/work/shelves/208911,english,2
/work/shelves/208911,book,2
/work/shelves/208911,nonfiction-to-read,2
/work/shelves/208911,home-library,2
/work/shelves/208911,science-physical,2
/work/shelves/208911,education,2
/work/shelves/208911,theoretical-physics,2
/work/shelves/208911,sci-fi,2
/work/shelves/96431,to-read,1841
/work/shelves/96433,to-read,1011
/work/shelves/96418,astrophysics,5
/work/shelves/96418,dnf,5
/work/shelves/96418,science-to-read,5
/work/shelves/96418,maths,5
/work/shelves/96418,science-books,5
/work/shelves/96418,nonfiction-to-read,5
/work/shelves/96435,favorites,3
/work/shelves/96435,own,3
/work/shelves/96435,science-physics,2
/work/shelves/96435,sciences,2
/work/shelves/96435,technology,1
/work/shelves/208911,nonfiction-science,2
/work/shelves/208911,non-fic,2
/work/shelves/208911,physics-and-cosmology,2
/work/shelves/208911,mathematics,2
/work/shelves/208911,not-sure,1
/work/shelves/208911,casual-reading,1
/work/shelves/208911,all-books,1
/work/shelves/96431,currently-reading,160
/work/shelves/96431,philosophy,158
/work/shelves/96431,politics,110
/work/shelves/96431,non-fiction,61
/work/shelves/96431,very-short-introductions,24
/work/shelves/96431,political-philosophy,24
/work/shelves/96431,a-very-short-introduction,19
/work/shelves/96431,vsi,17
/work/shelves/96431,owned,9
/work/shelves/96431,own,8
/work/shelves/96431,history,8
/work/shelves/96431,books-i-own,8
/work/shelves/96433,currently-reading,128
/work/shelves/96433,philosophy,74
/work/shelves/96433,law,58
/work/shelves/96433,non-fiction,31
/work/shelves/96433,very-short-introductions,14
/work/shelves/96433,politics,14
/work/shelves/96433,vsi,11
/work/shelves/96433,jurisprudence,8
/work/shelves/96418,to-read-nonfiction,5
/work/shelves/96418,on-hold,5
/work/shelves/96418,books,5
/work/shelves/96418,ebook,5
/work/shelves/96418,factual,5
/work/shelves/96418,popsci,5
/work/shelves/96418,unfinished,5
/work/shelves/96418,math-science,5
/work/shelves/96435,summary,1
/work/shelves/96435,interesting,1
/work/shelves/96435,engineering,1
/work/shelves/96435,electrical,1
/work/shelves/96435,computer,1
/work/shelves/96435,_check-this-out,1
/work/shelves/96435,actually-have,1
/work/shelves/96435,to-read-list-1,1
/work/shelves/96435,unfinished,1
/work/shelves/96435,occult-science,1
/work/shelves/96435,_top,1
/work/shelves/96435,to-get-copy,1
/work/shelves/208911,textbook,1
/work/shelves/208911,philosophy-and-history,1
/work/shelves/208911,non-fiction-tbr,1
/work/shelves/208911,philosophy-of-physics,1
/work/shelves/208911,got-it,1
/work/shelves/208911,wishlist-non-fiction,1
/work/shelves/208911,politics-culture,1
/work/shelves/208911,european,1
/work/shelves/208911,physical-library,1
/work/shelves/208911,in-my-bookcase,1
/work/shelves/96431,política,7
/work/shelves/96431,very-short-introduction,6
/work/shelves/96431,political,6
/work/shelves/96431,2020,5
/work/shelves/96431,very-short-intros,5
/work/shelves/96431,political-science,5
/work/shelves/96431,reference,5
/work/shelves/96431,nonfiction,5
/work/shelves/96431,kindle,4
/work/shelves/96431,filosofia,4
/work/shelves/96431,2018,3
/work/shelves/96431,2019,3
/work/shelves/96431,ppe,3
/work/shelves/2676767,to-read,1173
/work/shelves/96433,a-very-short-introduction,6
/work/shelves/96433,owned,5
/work/shelves/96433,2020,4
/work/shelves/96433,kindle,3
/work/shelves/96433,default,3
/work/shelves/96433,very-short-intro,3
/work/shelves/96433,religion-and-philosophy,3
/work/shelves/96433,reference,3
/work/shelves/96433,own,3
/work/shelves/96418,education,5
/work/shelves/96418,metaphysics,5
/work/shelves/96418,science-mathematics,5
/work/shelves/96418,mathematics,5
/work/shelves/96418,sci,4
/work/shelves/96418,non-fic,4
/work/shelves/96418,interested,4
/work/shelves/96418,must-read,4
/work/shelves/96418,2017,4
